site_no	remarks
04100500	For most years records fair except for estimated daily discharges, which are poor. Occasional low-flow regulation at Goshen Dam, 3.4 mi upstream.
04101000	For most years records fair except for estimated daily discharges, which are poor.  The flow is regulated by Elkhart Hydroelectric Plant.
04101500	Flow regulated by powerplants upstream from station.
04102500	Diurnal fluctuation, principally during low flow, caused by paper mill upstream from station.
04105000	Occasional slight regulation prior to November 1943.
04105500	Diurnal fluctuation below 1,500 ft³/s caused by powerplants upstream from station.
04106400	At times, flow is affected by ground-water withdrawals.
04109000	Slight regulation by mills upstream from station.  Flow includes about 20 ft³/s as sewage effluent, which originates from ground-water sources, from the City of Jackson.
04112000	At times, low flow is affected by pumpage for irrigation.
04112500	Prior to April 1975, occasional regulation at low flow by mill at Williamston, 16 mi upstream from station. 
04113000	Flow regulated by powerplants upstream from station.
04115000	At times, water is pumped from the river about 8 mi upstream to fill the wetlands in the Maple River State Game Area. Some of the water is returned to the river at a later date, when water levels in the wetlands are lowered.
04116000	Diurnal fluctuation below approximately 5,000 ft³/s caused by powerplants upstream from station.
04117500	none
04119000	Moderate diurnal fluctuation at low and medium flow caused by powerplants upstream from station.
04121500	Some regulation at low flow by dams upstream from station.
04122200	none
04122500	none
04124000	none
04127997	none
04128990	Prior to May 16, 1957, and Apr. 22, 1958 to Sept. 11, 2014, regulation by Lansing Club Dam 1.0 mi upstream.
04136500	Flow regulated by Mio Dam 500 ft upstream.
04142000	Occasional regulation by dams upstream from station.
04144500	Flow regulated below approximately 800 ft³/s by power plant at Shiawasseetown prior to February 1953; occasional regulation at low stages since.
04146000	Prior to 1941, occasional regulation caused by dam upstream from station.
04148500	Some regulation by small reservoirs upstream from station and by Holloway Reservoir.  From 1954 to 1991 annual mean discharge and runoff figures adjusted for change in contents in Holloway Reservoir.  Occasional diversion for industrial use.
04151500	Occasional regulation by dams upstream from station.  Prior to 1950, regulation at low and medium flows by mill upstream from station. 
04154000	Diurnal fluctuation below 750 ft³/s caused by power plant at Mount Pleasant prior to 1962, occasional regulation at low flow since.  Since July 30, 1968, occasional regulation by control structures on lake outlets.
04156000	Prior to 1992 water year, diversion was used in computing annual mean discharge and runoff figures, extremes and daily discharge were not adjusted for diversion.  Prior to May 20, 1970, discharge below 4,000 ft³/s regulated by dam 2,000 ft upstream from station; fixed crest dam since.
04159492	Diurnal fluctuation, principally during low flow, caused by an unknown source upstream from station.
04161540	Occasional regulation by Lake Orion.
04164000	Flow since the 1960's has been augmented by effluent from municipal sewage-treatment plants and cooling water from industrial plants, most of which originates from sources outside the basin.
04164100	Occasional regulation by lakes upstream of station.
04164300	none
04164500	Some regulation at times by mill upstream from station.
04165500	Flow since the 1960's has been augmented by effluent from municipal sewage-treatment plants and cooling water from industrial plants, most of which originates from sources outside the basin.
04166000	Occasional regulation by Quarton Lake upstream from station.
04166100	none
04166300	none
04166500	Regulation by water retention structure upstream from station and some diversion by pumping for sprinkler irrigation. 
04168000	Since 1995, flow contains effluent from sewage-treatment plant, which originates outside the basin.
04172000	Occasional regulation by Kent Lake 11 mi upstream from station.
04174500	Prior to 1955 diversion upstream from station for Ann Arbor municipal supply had negligible effect on natural flow; annual mean discharge and runoff figures adjusted for diversion from 1955 to 1991.  Flow regulated by powerplants prior to May 1962.  From June 1962 to 1975 occasional regulation for lake level control operations upstream from station.  Since 1975 extensive regulation of flow exists due to automation of gates at dams upstream from station.
04176500	Diurnal fluctuation caused by powerplants upstream from station prior to June 27, 1968.  At times, flow is affected by irrigation pumpage.
04185000	Records fair for the 2014 water year except for estimated records, which are poor. Oct. 1, 2014 to Apr. 7, 2015: records fair, except for estimated records, which are poor. Apr. 8, 2015 to Dec. 4, 2016: discharge records poor.    Flow diverted from river by Archbold Water Department upstream from station and returned as treated wastewater to Brush Creek, which flows into the Tiffin River downstream from station.  Average diversions in ft³/s for the following water years are in the table below:  Water Year   Average Diversion    2014            2.22    2015            1.88    2016            2.15  Water-quality and sediment data formerly collected at this site.
04186500	Records good for 2014, except periods of estimated record, which are poor. Oct. 1, 2014 to Dec. 8, 2014: records good. Dec. 8, 2014 to Aug. 26, 2015: records fair, except for period of estimated record, which are poor. Aug. 26, 2015 to Dec. 16, 2015: records good. Aug. 26, 2015 through Oct. 11, 2016, records good, except for estimated records, which are poor. Aug. 26, 2015 through Oct. 11, 2016, records good, except for estimated records, which are poor. Oct. 12, 2016 through Oct. 03, 2017, records good, except for estimated records, which are poor.. Beginning Jan. 4, 1971, water was diverted for low-flow augmentation and water supply in the Ottawa River Basin. Some diversion from Grand Lake to Auglaize River Basin through Miami and Erie Canal into Jennings Creek at a point 9.2 mi upstream from station. Annual figures of runoff are considered to be within 10 percent of natural yield. Water-quality and sediment data formerly and currently collected at this site. Daily mean concentration and daily mean load records poor.
04189000	WY 2014;Records fair except for periods of estimated record, which are poor. Oct. 1, 2014 to April 18, 2015;Records fair except for periods of estimated record, which are poor, April 19, 2015 to Oct. 16, 2015; Records good except for periods of estimated record, which are poor.  Oct. 16, 2015 to Dec. 09, 2015 discharge records rated fair. Dec. 10, 2015 to Apr. 19, 2016 discharge records rated good except for estimated discharges which are rated poor. Apr. 20, 2016 to Feb. 13, 2017 records rated fair except for estimated discharges which are rated poor. Water quality and sediment data previously collected at this site.
04191500	Discharge records fair for 2014, except for estimated records, which are poor. Aug. 13, 2014 to Apr. 8, 2015: discharge records fair. Apr. 9, 2015 to June 29, 2015: discharge records fair.  June 30, 2015 to Dec. 4, 2015: discharge records good.  Dec. 5, 2015 to Oct. 12, 2016: discharge records good. Oct. 13, 2016 to Feb. 21, 2017: discharge records good.  Feb. 22, 2017 to June 28, 2017: discharge records fair.  June 29, 2017 to Oct. 2, 2017: discharge records good. Daily mean concentration and daily mean load records poor. Flow regulated by dam at hydroelectric power plant  at station; reservoir capacity, 9800 acre-ft. Plant shut down except for occasional gate operation, Jan. 10, 1963 to Sept.7, 1985. Some diversion by Miami and Erie Canal from Grand Lake into Jennings Creek, tributary to Auglaize River 70 mi upstream from station.  Water-quality data formerly collected at this site.
04193500	Records fair for 2014. Estimated records are poor.  Water-quality and sediment data formerly collected at this site. Oct. 1, 2014 to Dec. 16, 2014: discharge records fair. Dec. 16, 2014 to Dec. 16, 2015: discharge records good, except for periods of estimated record which is poor. Dec. 16, 2015 to Mar. 21, 2016: discharge records good, no estimated record.  Mar. 21, 2016 to Oct. 18, 2016: discharge records good, no estimated record. Oct. 19, 2016 to Feb. 20, 2017: discharge records good except for estimated daily discharges, which are poor. Feb. 21, 2017 to Oct. 19, 2017: discharge records poor.
04195500	Records fair for the 2014 water year except for estimated records, which are poor. Oct. 1, 2014 to Feb. 4, 2015: records fair except for estimated records, which are poor. Feb. 4, 2015 to May 19, 2015: records good except for estimated records, which are poor. May 19, 2015 to Oct. 14, 2015: records fair. Oct. 15, 2015 to Nov. 16, 2015, discharge records fair.  Nov. 17, 2015 to Nov. 9, 2016, discharge records good except for estimated discharges which are poor.  Beginning on Sept. 1, 1951, flow diverted from Maumee River by Bowling Green Water Treatment Plant and supplemented as treated wastewater to river upstream from station by Bowling Green Wastewater Treatment Plant.  Prior to the 2014 water year, published monthly and annual streamflows were adjusted by subtracting the diversion amounts.  Beginning with the 2014 water year, published streamflows are no longer adjusted for diversions. Average diversions in ft³/s for the following water years are in the table below:  Water Year   Average Diversion    2014            7.66    2015            7.45    2016            7.65  Water-quality data formerly collected at this site 800 ft downstream. Sediment data formerly collected at this site. 
04198000	Records good for water year 2014. Periods of estimated record are poor. Water-quality data formerly collected at this site. Oct. 1, 2014 to Sep. 16, 2015: discharge records fair, except for periods of estimated record, which are poor. Sep. 16, 2015 to Nov. 17, 2015: discharge records good. Nov. 17, 2015 to Oct. 12, 2016: discharge records good, except for periods of estimated record, which are fair.  Oct. 12, 2016 to Oct. 23, 2017: discharge records rated good, except for periods of estimated record, which are rated poor.
04200500	Records good for 2014, except for estimated records, which are poor. Oct. 1, 2014 to Dec. 2, 2014: records fair. Dec. 2, 2014 to Mar. 18, 2015: records fair, except for estimated records, which are poor. Mar. 18, 2015 to Dec. 15, 2015: records fair. Dec. 15, 2015 to Apr. 5, 2016: discharge records fair except for estimated daily discharges, which are poor. Apr. 6, 2016 to Jul. 26, 2016: discharge records good. Jul. 27, 2016 to Sept. 12, 2016: discharge records fair except for estimated daily discharges, which are poor. Sept. 13, 2016 to Nov. 29, 2016: discharge records fair.  Some regulation at low flow for industrial use.   Water-quality and sediment sample data are available on NWISWEB (http://nwis.usgs.gov).  WATER QUALITY:  Oct. 1, 2013 to Jan. 21, 2015: Water temperature records good. Specific conductance records good except Dec 19, 2013 to Jan. 9, 2014 and July 18, 2014 to Sep. 23, 2014, which are fair, and Apr. 30, 2014 to May 15, 2014, which are poor. pH records are good. Dissolved oxygen records are good except Aug. 8, 2014 to Sep. 3, 2014, and Sep. 23, 2014 to Oct. 17, 2014, which are fair. Turbidity records are rated fair except Nov. 5, 2013 to Jan. 9, 2014, which are poor.  Jan. 22, 2015 to Nov. 30, 2015: Water temperature records good. Specific conductance records good except July 8-30, 2015, which are fair, and Jan. 21, 2015 to Feb. 11, 2015, which are poor. pH records are good. Dissolved oxygen records are good except Mar. 26, 2015 to May 26, 2015 and Aug. 19, 2015 to Sept. 8, 2015, which are fair. Turbidity records are rated fair except Mar. 26, 2015 to June 16, 2015 and July 29,2015 to Nov. 30, 2015, which are poor.  Dec. 1, 2015 to Oct. 3, 2016: Water temperature records good. Specific conductance records good, except June 2, 2016 to Aug. 1, 2016, which are fair. pH records are good. Dissolved oxygen records good, except Dec. 1, 2015 to Jan. 15, 2016 and July 20, 2016 to Aug. 5, 2016, which are fair. Turbidity records good except Mar. 2, 2016 to May 2, 2016, and Aug. 2, 2016 to Oct. 3, 2016, which are fair, and Jan. 15, 2016 to Feb. 1, 2016, and May 3, 2016 to Aug. 1, 2016, which are poor.
04201500	Records fair for 2014, except for estimated records, which are poor. Oct. 1, 2014 to May 5, 2015: records fair, except for estimated records, which are poor. May 5, 2015 to Oct. 20, 2015: records fair. Oct. 20, 2015 to Apr. 5, 2016: discharge records good, except for estimated records, which are poor. Apr. 5, 2016 to Sept. 13, 2016: discharge records good. Sept. 13, 2016 to Nov. 30, 2016: discharge records fair. Nov. 30, 2016 to Feb. 1, 2017: discharge records fair, except for estimated records, which are poor. Feb. 1 2017 to Nov. 1, 2017: discharge records good. Some regulation at low flow by small reservoirs. Some inter basin transfer of water for municipal water supply. Water Quality and sediment data formerly collected at this site.
04206000	WY 2015; Records fair except for estimated daily discharge, which are poor., WY 2014; Records good except for period of estimated records which are poor. Oct. 1, 2016 to Oct. 5, 2017: Discharge records rated fair.   Natural flow of stream affected by diversions, storage reservoirs, and powerplants. Sewage from city enters river 2.9 mi downstream from station. Some diversions from the Tuscarawas River Basin drainage into this basin at Portage Lakes (see REMARKS on site data sheet for station 0311700). Sediment data formerly collected at this site. An average of 52.4 ft³/s in WY 2016 was diverted upstream from gage. An average of 53.4 ft³/s in WY 2017 was diverted upstream from gage.
04208000	Oct. 1, 2015 to Sept. 30, 2016 and 2014 to 2015 WYs: Records are fair except for periods of estimated daily discharges, which are poor. Natural flow of stream affected by diversion, storage reservoirs, and powerplants. Some diversion from the Tuscarawas River Basin drainage into this basin at Portage Lakes (see REMARKS for station 03117000). Water diverted into Ohio Canal at Brecksville, 6 mi upstream from station, bypasses station. These records do not include flow in canal except above about 15,000 ft³/s, when channels merge. Satellite telemeter at gage. Water-quality data formerly collected at this site. Water-quality and sediment sample data are available on NWISWEB (http://nwis.usgs.gov).  WATER QUALITY:   Oct. 1, 2013  to Dec. 4, 2014: Water temperature records good except Feb. 21-23, 2014, Apr. 15-16, 2014, Apr. 29, 2014 to May 2, 2014, and May 13-14, 2014, which are poor. Specific conductance records good except Apr. 14-17, 2014, May 12-22, 2014, and Nov. 3-10 and 23-30, 2014, which are poor. pH records are good except Dec. 17-26, 2013 and Feb. 24, 2014 to Apr. 17, 2014, which are poor. Dissolved oxygen records good except Nov. 4, 2013 to Dec. 4, 2013, Dec. 17-27, 2013, Jan. 3-15, 2014, Feb. 12, 2014 to Mar. 17, 2014, Apr. 17, 2014 to May 15, 2014, which are poor. Turbidity records fair except Oct. 17-20, 2013, Dec. 26-28, 2013, Feb. 4, 2014 to Mar. 17, 2014, May 12-15, 2014, June 18, 2014 to Dec. 4, 2014, which are poor.  Dec. 4, 2014 to Dec. 2, 2015:  Water temperature records good except July 17, 2015 to Aug. 4, 2015, which are fair. Specific conductance records good except May 6-13, 2015, and May 27, 2015 to July 16, 2015, which are poor. pH records are good except Jan. 21, 2015 to Mar. 5, 2015 and May 31, 2015 to July 30, 2015, which are poor. Dissolved oxygen records good except July 18, 2015 to Sept. 7, 2015, and Oct. 2, 2015 to Nov. 4, 2015, which are fair, and May 27, 2015 to July 17, 2015, Sept. 8, 2015 to Oct. 1, 2015, and Nov. 5, 2015 to Dec. 2, 2015, which are poor. Turbidity records good except July 18, 2015 to Sept. 12, 2015, Sept. 15, 2015 to Nov. 4, 2015, which are fair, and Mar. 4, 2015 to July 17, 2015, Sept. 13, 2015 to Sept. 14, 2015, and Nov. 5, 2015 to Dec. 2, 2015, which are poor.  Dec. 2, 2015 to Dec. 1, 2016:  Water temperature records good. Specific conductance records good except Sept. 20, 2016 to Oct. 3, 2016, which are fair. pH records good, except Dec. 2, 2015 to May 3, 2016, which are fair. Dissolved oxygen records good. Turbidity records fair except June 24, 2016 to July 7, 2016, Aug. 12, 2016 to Sept. 6, 2016, and Sept. 20, 2016 to Oct. 28, 2016, which are poor. 
04213000	WY 2015; Records fair, except for estimated record which is considered poor. Oct. 1, 2015 to Aug. 15, 2017; Records fair, except for estimated daily discharge, which is poor. Aug 16 to Nov 28, 2017; Records poor.   Water-quality and sediment data formerly collected at this site.
04215500	Water Years 2014-16: Records good except those for estimated daily discharges, which are poor.
04216000	Records do not include water diverted from Lake Michigan by Illinois and Michigan Canal during period of its operation prior to 1910 and by Chicago Sanitary and Ship Canal, which began operation in 1900, and from Lake Erie by Welland and New York State Canals before 1918. Records include water diverted into Lake Superior from Hudson Bay drainage by the Long Lake project, which began operation in July 1939, and by the Ogoki project, which began operation in July 1943. Figures of monthly mean discharge for 1860 to 1960 and daily discharge for 1961 to 1965, published in WSP 1912, are the official records of the U.S. Lake Survey, and have been coordinated with and concurred by the counterpart Canadian agencies, as have been the extremes for period of record through December 1976 and records October 1977 to current year.
04223000	Since July 1928, some seasonal regulation by Rushford Lake. Between early 1920s and 2000, possible diurnal fluctuation at low flow caused by powerplant on Wiscoy Creek. Monthly figures of discharge and runoff, 1952 to 1966 water years, adjusted for change in contents in Rushford Lake. Water Years 2014-16: Records good except those for estimated daily discharges, which are fair. 
04227500	From 1916 to 2000, diurnal fluctuation at low flow caused by powerplant about 5.5 mi upstream. Flow regulated to some extent by Rushford Lake from July 1928 to November 1951, and at high flows by Mount Morris Lake (station 04224000) since November 1951 . Monthly figures of discharge and runoff 1952 to 1966 water years adjusted for change in contents in Rushford Lake and Mount Morris Lake. Water Years 2014-15: Records good except those for estimated daily discharges, which are fair. Water Year 2016: Records good except those for estimated daily discharges, which are poor.
04228500	Prior to 2000, possible diurnal fluctuation at low flow caused by powerplant at Mt. Morris. High flows regulated by Mount Morris Lake (station 04224000) and by Conesus Lake (station 04227980). Monthly figures of discharge and runoff August 1955 to September 1965 adjusted for change in contents in Mount Morris Lake. Water Years 2014-15: Records good except those for estimated daily discharges, which are fair. Water Year 2016: Records good except those above 500 ft³/s and those for estimated daily discharges, which are poor.
04230500	Water Years 2014-16: Records good except those for estimated daily discharges, which are poor.
04231000	Prior to May 1952, small diversion by Penn Central Transportation Co. and slight regulation by pumping operations upstream from station. Water Years 2014-16: Records good except those for estimated daily discharges, which are poor.
04231600	 Occasional fluctuation caused by powerplant downstream from station. New York State Erie (Barge) Canal crosses river 1.8 mi upstream from station. Water diverted by the canal from Niagara River basin is discharged into river from the west, the canal again diverting a smaller amount of water from river to the east. Additional regulation to some extent by Rushford Lake from July 1928 to November 1951, at high flows by Mount Morris Lake (station 04224000) since November 1951, and by Conesus Lake (station 04227980). Water year 2014: Records good except those below 800 ft³/s, which are fair, and those for estimated daily discharges, which are poor. Water years 2015-16: Records fair except those for estimated daily discharges and daily discharges below 2,000 ft³/s, which are poor.
04234000	Diversion from point about 1 mi upstream from station by Cornell University for water supply and at several sites for irrigation purposes. Records of diversion from Fall Creek are in files of Cornell University. Water Years 2014-16: Records good except those for estimated daily discharges, which are fair.
04235000	Flow regulated by Canandaigua Lake (station 04234500), from which water is diverted for municipal supply by Villages of Newark, Palmyra, and Gorham. Monthly runoff adjusted for change in contents in Canandaigua Lake from October 1945 to September 1966. Water Years 2014-16: Records good except those for estimated daily discharges, which are fair.
04237496	Records from November 1898 to December 1908 determined on basis of head on dam, flow through 10 mills nearby, lockages at Oswego Canal lock, estimated leakage of dam, wheel gates, flumes, and penstocks; not adjusted for inflow from Lake Erie through Erie (Barge) Canal. Records from November 1949 to September 1996, computed by using fall as determined by auxiliary water-stage recorder. Records from October 1996 to September 2014, computed by using standard stage-discharge methods. Low and medium flows from November 1949 to September 2014, affected by large diurnal fluctuations caused by powerplants upstream from station at site then in use. Published record, November 1949 to September 2014, represents the total flow at Baldwinsville and includes flow in Erie (Barge) Canal. Low and medium flows at present site can be affected by operation of powerplants and Lock 24 on Erie (Barge) Canal 1.6 mi downstream from gage. Seneca River basin receives water from Erie (Barge) Canal through Lock 32 near Pittsford. A large amount of natural storage and some artificial regulation is afforded by many large lakes and the Erie (Barge) Canal system in the river basin. From 1931-98, a large part of flow from 45.5 mi² of Mud Creek drainage area (Susquehanna River basin) had been diverted into Keuka Lake (Oswego River basin) for power generation. Water Years 2014-16: Records good except those for estimated daily discharges, which are poor.
04239000	High flows regulated by Onondaga Reservoir. Water years 2014-15: Records good except those for estimated daily discharges, which are fair. Water years 2016-17: Records good except those for estimated daily discharges, which are poor.
04243500	Occasional regulation by small mills upstream from station. Water Years 2014-16: Records good except those for estimated daily discharges, which are fair.
04249000	Prior to 1933 and subsequent to 1972, flow in Oswego (Barge) Canal not included. A large amount of natural storage and some artificial regulation is afforded by the many large lakes and the Erie (Barge) and Oswego (Barge) Canal systems in the river basin. Large diurnal fluctuations at low and medium flow caused by powerplants upstream from station. Oswego River basin receives water from Erie (Barge) Canal through Lock 32 near Pittsford. Water may be diverted into or received from Mohawk River basin through summit level of Erie (Barge) Canal between New London and Utica. Nearly all of the flow from 14 mi² of the Tioughnioga River basin may be diverted into De Ruyter Reservoir in Oswego River basin. From 1931-98, a large part of flow from 45.5 mi² of Mud Creek drainage area (Susquehanna River basin) had been diverted into Keuka Lake (Oswego River basin) for power generation. Water Years 2014-16: Records good except those for estimated daily discharges, which are fair.
04252500	Occasional regulation by several headwater reservoirs. Forestport feeder diverts water from State Pond at Forestport 9 mi upstream. That portion of diverted water which does not pass Black River Canal (flowing south), returns to Black River downstream from station through Mill Creek sluiceway. Slight diurnal fluctuation at medium and low flow caused by powerplant upstream from station. Water Years 2014-16: Records fair except those for estimated daily discharges, which are poor.
04256000	Water Years 2014-17: Records good except those for estimated daily discharges, which are poor.
04258000	Flow regulated by Stillwater Reservoir (station 04256500). Between Stillwater Dam and this station, flow is further regulated by several powerplant ponds. Diurnal fluctuation at low and medium flow. Water Years 2014-16: Records good except those for estimated daily discharges, which are poor.
04260500	Flow regulated by Stillwater Reservoir (station 04256500), Fulton Chain of Lakes, and other reservoirs. Extensive diurnal fluctuation at low and medium flow caused by mills and powerplants in and above Watertown. During canal season, water is diverted out of basin through Forestport feeder and Black River Canal (flowing south). Water Years 2014-15: Records good except those for estimated daily discharges, which are poor. Water Year 2016: Records good.
04262500	Since June 1985, extensive diurnal fluctuation and slight regulation caused by powerplant upstream from station. Water Years 2014-17: Records good except those for estimated daily discharges, which are poor.
04263000	Entire flow regulated by Cranberry Lake (station 04260990); slight diurnal fluctuation at low flow and medium flow caused by powerplants. During high stages on Grass River, part of flow of that stream may pass through Upper Lake, Indian Creek, and Lower Lake and enter Oswegatchie River at Rensselaer Falls, 4.5 mi upstream from station. In October 1973, a dike was installed on Indian Creek to prevent overflow of Grass River during high flows. Water Years 2014-15: Records good except those for estimated daily discharges, which are poor. Water Year 2016: Records good.
04264331	Since July 1958, flow regulated by international agreement administered by International St. Lawrence River Board of Control under the International Joint Commission. Records do not include water diverted from Lake Michigan by Illinois and Michigan Canal during period of its operation prior to 1910 and by Chicago Sanitary and Ship Canal, which began operation in 1900. Records include water diverted into Lake Superior from Hudson Bay drainage by the Long Lake Project, which began operation in July 1939, and by the Ogoki project, which began operation in July 1943.
